Tarih,Hisse,Puan,RSI,Hacim Gücü,Trend,Aksiyon
2026-02-16,ODAS.IS,60.7,70.5,0.47,UP,🟡 Alınabilir
2026-02-16,SAHOL.IS,58.9,69.3,0.73,UP,🟡 Alınabilir
2026-02-16,EREGL.IS,58.7,69.1,0.74,UP,🟡 Alınabilir
2026-02-16,YKBNK.IS,58.2,68.8,0.32,UP,🟡 Alınabilir
2026-02-16,BRSAN.IS,57.5,68.3,0.66,UP,🟡 Alınabilir
2026-02-16,OYAKC.IS,56.8,54.5,1.22,UP,🟢 En iyi alım bölgesi
2026-02-16,ALARK.IS,56.5,67.6,0.53,UP,🟡 Alınabilir
2026-02-16,AKSA.IS,56.2,67.4,0.61,UP,🟡 Alınabilir
2026-02-16,CIMSA.IS,54.2,66.1,0.95,UP,🟡 Alınabilir
2026-02-16,GUBRF.IS,53.8,65.9,0.45,UP,🟡 Alınabilir
2026-02-16,VESTL.IS,53.7,65.8,0.55,UP,🟡 Alınabilir
2026-02-16,DOAS.IS,53.7,65.8,0.89,UP,🟡 Alınabilir
2026-02-16,PETKM.IS,53.4,65.6,0.73,UP,🟡 Alınabilir
2026-02-16,ASTOR.IS,53.3,65.5,0.65,UP,🟡 Alınabilir
2026-02-16,GESAN.IS,51.4,64.3,0.72,UP,🟢 En iyi alım bölgesi
2026-02-16,GARAN.IS,50.8,63.8,0.51,UP,🟢 En iyi alım bölgesi
2026-02-16,EKGYO.IS,50.4,63.6,0.86,UP,🟢 En iyi alım bölgesi
2026-02-16,AKBNK.IS,50.0,63.3,0.41,UP,🟢 En iyi alım bölgesi
2026-02-16,ULKER.IS,49.9,63.2,0.76,UP,🟢 En iyi alım bölgesi
2026-02-16,HEKTS.IS,47.9,62.0,0.71,UP,🟢 En iyi alım bölgesi
2026-02-16,DOHOL.IS,42.8,58.5,0.62,UP,🟢 En iyi alım bölgesi
2026-02-16,AKSEN.IS,34.1,52.7,0.71,UP,🟢 En iyi alım bölgesi
2026-02-16,ECILC.IS,30.0,47.6,0.36,UP,⚪ İzle
2026-02-16,SMRTG.IS,19.1,52.7,0.47,DOWN,🔴 Alma
2026-02-16,ASELS.IS,15.0,43.5,0.42,UP,⚪ İzle
2026-02-16,TUPRS.IS,15.0,48.3,0.62,UP,⚪ İzle
2026-02-16,AHGAZ.IS,15.0,43.2,0.3,UP,⚪ İzle
2026-02-16,FROTO.IS,104.3,86.2,1.07,UP,🔴 Geri çekilme bekle
2026-02-16,PGSUS.IS,99.2,82.8,1.27,UP,🟠 Dikkatli al
2026-02-16,THYAO.IS,92.3,91.5,0.76,UP,🔴 Geri çekilme bekle
2026-02-16,SISE.IS,86.5,87.7,0.79,UP,🔴 Geri çekilme bekle
2026-02-16,AEFES.IS,85.2,86.8,0.69,UP,🔴 Geri çekilme bekle
2026-02-16,ARCLK.IS,82.6,85.1,0.58,UP,🔴 Geri çekilme bekle
2026-02-16,MGROS.IS,79.3,82.8,0.65,UP,🟠 Dikkatli al
2026-02-16,SAHOL.IS,76.6,67.7,1.15,UP,🟡 Alınabilir
2026-02-16,VAKBN.IS,76.4,81.0,0.8,UP,🟠 Dikkatli al
2026-02-16,BIMAS.IS,75.8,80.5,0.75,UP,🟠 Dikkatli al
2026-02-16,CIMSA.IS,74.3,66.2,1.16,UP,🟡 Alınabilir
2026-02-16,GESAN.IS,73.0,65.3,1.05,UP,🟡 Alınabilir
2026-02-16,DOAS.IS,72.0,64.7,1.11,UP,🟢 En iyi alım bölgesi
2026-02-16,EKGYO.IS,69.6,63.1,1.08,UP,🟢 En iyi alım bölgesi
2026-02-16,ULKER.IS,69.1,62.7,1.01,UP,🟢 En iyi alım bölgesi
2026-02-16,HEKTS.IS,69.1,62.8,1.08,UP,🟢 En iyi alım bölgesi
2026-02-16,KCHOL.IS,68.3,75.5,0.94,UP,🟠 Dikkatli al
2026-02-16,ENKAI.IS,66.1,74.1,0.67,UP,🟡 Alınabilir
2026-02-16,ISCTR.IS,65.6,73.8,0.88,UP,🟡 Alınabilir
2026-02-16,SASA.IS,63.4,68.9,5.92,DOWN,🔴 Alma
2026-02-16,TOASO.IS,63.0,72.0,0.76,UP,🟡 Alınabilir
2026-02-16,TCELL.IS,63.0,72.0,0.86,UP,🟡 Alınabilir
2026-02-16,KRDMD.IS,61.3,70.9,0.89,UP,🟡 Alınabilir
2026-02-16,CCOLA.IS,61.2,70.8,0.71,UP,🟡 Alınabilir
2026-02-16,ODAS.IS,61.2,70.8,0.62,UP,🟡 Alınabilir
2026-02-16,AGHOL.IS,60.2,70.1,0.71,UP,🟡 Alınabilir
2026-02-16,EREGL.IS,58.9,69.3,0.97,UP,🟡 Alınabilir
2026-02-16,AKSA.IS,56.8,67.9,0.82,UP,🟡 Alınabilir
2026-02-16,YKBNK.IS,56.6,67.7,0.48,UP,🟡 Alınabilir
2026-02-16,OYAKC.IS,55.5,53.6,1.5,UP,🟢 En iyi alım bölgesi
2026-02-16,BRSAN.IS,55.4,67.0,0.82,UP,🟡 Alınabilir
2026-02-16,ALARK.IS,55.2,66.8,0.74,UP,🟡 Alınabilir
2026-02-16,VESTL.IS,54.9,66.6,0.86,UP,🟡 Alınabilir
2026-02-16,GUBRF.IS,53.9,66.0,0.55,UP,🟡 Alınabilir
2026-02-16,PETKM.IS,53.5,65.7,0.96,UP,🟡 Alınabilir
2026-02-16,ASTOR.IS,49.9,63.2,0.99,UP,🟢 En iyi alım bölgesi
2026-02-16,GARAN.IS,49.8,63.2,0.74,UP,🟢 En iyi alım bölgesi
2026-02-16,AKBNK.IS,49.3,62.8,0.56,UP,🟢 En iyi alım bölgesi
2026-02-16,DOHOL.IS,43.8,59.2,0.83,UP,🟢 En iyi alım bölgesi
2026-02-16,AKSEN.IS,30.6,50.4,0.82,UP,🟢 En iyi alım bölgesi
2026-02-16,ECILC.IS,30.0,48.7,0.53,UP,⚪ İzle
2026-02-16,SMRTG.IS,19.4,52.9,0.62,DOWN,🔴 Alma
2026-02-16,TUPRS.IS,15.0,47.2,0.83,UP,⚪ İzle
2026-02-16,AHGAZ.IS,15.0,43.2,0.43,UP,⚪ İzle
2026-02-16,ASELS.IS,15.0,42.6,0.57,UP,⚪ İzle
2026-02-16,FROTO.IS,104.4,86.2,1.1,UP,🔴 Geri çekilme bekle
2026-02-16,PGSUS.IS,99.3,82.9,1.32,UP,🟠 Dikkatli al
2026-02-16,THYAO.IS,92.5,91.7,0.81,UP,🔴 Geri çekilme bekle
2026-02-16,AEFES.IS,87.8,88.5,0.71,UP,🔴 Geri çekilme bekle
2026-02-16,SISE.IS,86.9,88.0,0.86,UP,🔴 Geri çekilme bekle
2026-02-16,ARCLK.IS,82.6,85.1,0.59,UP,🔴 Geri çekilme bekle
2026-02-16,VAKBN.IS,80.2,83.4,0.83,UP,🟠 Dikkatli al
2026-02-16,MGROS.IS,79.6,83.1,0.72,UP,🟠 Dikkatli al
2026-02-16,EREGL.IS,79.2,69.5,1.01,UP,🟡 Alınabilir
2026-02-16,SAHOL.IS,77.5,68.3,1.2,UP,🟡 Alınabilir
2026-02-16,BIMAS.IS,75.6,80.4,0.78,UP,🟠 Dikkatli al
2026-02-16,CIMSA.IS,75.1,66.7,1.23,UP,🟡 Alınabilir
2026-02-16,GESAN.IS,74.0,66.0,1.08,UP,🟡 Alınabilir
2026-02-16,DOAS.IS,72.2,64.8,1.14,UP,🟢 En iyi alım bölgesi
2026-02-16,ULKER.IS,69.9,63.2,1.03,UP,🟢 En iyi alım bölgesi
2026-02-16,EKGYO.IS,69.9,63.3,1.11,UP,🟢 En iyi alım bölgesi
2026-02-16,ASTOR.IS,69.9,63.2,1.02,UP,🟢 En iyi alım bölgesi
2026-02-16,HEKTS.IS,69.7,63.2,1.15,UP,🟢 En iyi alım bölgesi
2026-02-16,KCHOL.IS,69.3,76.2,1.0,UP,🟠 Dikkatli al
2026-02-16,ISCTR.IS,66.6,74.4,0.92,UP,🟡 Alınabilir
2026-02-16,ENKAI.IS,66.2,74.2,0.69,UP,🟡 Alınabilir
2026-02-16,TOASO.IS,64.0,72.7,0.79,UP,🟡 Alınabilir
2026-02-16,SASA.IS,64.0,69.3,6.0,DOWN,🔴 Alma
2026-02-16,TCELL.IS,63.5,72.3,0.88,UP,🟡 Alınabilir
2026-02-16,KRDMD.IS,61.4,71.0,0.92,UP,🟡 Alınabilir
2026-02-16,CCOLA.IS,61.2,70.8,0.76,UP,🟡 Alınabilir
2026-02-16,ODAS.IS,61.0,70.7,0.64,UP,🟡 Alınabilir
2026-02-16,AGHOL.IS,60.4,70.3,0.73,UP,🟡 Alınabilir
2026-02-16,YKBNK.IS,57.7,68.4,0.51,UP,🟡 Alınabilir
2026-02-16,AKSA.IS,56.8,67.9,0.87,UP,🟡 Alınabilir
2026-02-16,VESTL.IS,56.1,67.4,0.91,UP,🟡 Alınabilir
2026-02-16,ALARK.IS,55.9,67.3,0.76,UP,🟡 Alınabilir
2026-02-16,OYAKC.IS,55.7,53.8,1.6,UP,🟢 En iyi alım bölgesi
2026-02-16,BRSAN.IS,55.4,67.0,0.83,UP,🟡 Alınabilir
2026-02-16,GUBRF.IS,54.5,66.3,0.59,UP,🟡 Alınabilir
2026-02-16,PETKM.IS,53.8,65.9,0.99,UP,🟡 Alınabilir
2026-02-16,GARAN.IS,51.8,64.5,0.79,UP,🟢 En iyi alım bölgesi
2026-02-16,AKBNK.IS,49.7,63.2,0.58,UP,🟢 En iyi alım bölgesi
2026-02-16,DOHOL.IS,44.6,59.7,0.92,UP,🟢 En iyi alım bölgesi
2026-02-16,AKSEN.IS,31.5,51.0,0.85,UP,🟢 En iyi alım bölgesi
2026-02-16,ECILC.IS,30.0,48.7,0.55,UP,⚪ İzle
2026-02-16,SMRTG.IS,19.4,52.9,0.64,DOWN,🔴 Alma
2026-02-16,ASELS.IS,15.0,42.6,0.58,UP,⚪ İzle
2026-02-16,TUPRS.IS,15.0,47.3,0.85,UP,⚪ İzle
2026-02-16,AHGAZ.IS,15.0,44.3,0.5,UP,⚪ İzle
2026-02-16,FROTO.IS,104.3,86.2,1.16,UP,🔴 Geri çekilme bekle
2026-02-16,PGSUS.IS,98.8,82.5,1.39,UP,🟠 Dikkatli al
2026-02-16,THYAO.IS,92.2,91.5,0.88,UP,🔴 Geri çekilme bekle
2026-02-16,KCHOL.IS,89.3,76.2,1.06,UP,🟠 Dikkatli al
2026-02-16,AEFES.IS,88.3,88.9,0.76,UP,🔴 Geri çekilme bekle
2026-02-16,SISE.IS,87.1,88.0,0.95,UP,🔴 Geri çekilme bekle
2026-02-16,ARCLK.IS,82.8,85.2,0.63,UP,🔴 Geri çekilme bekle
2026-02-16,MGROS.IS,79.9,83.3,0.77,UP,🟠 Dikkatli al
2026-02-16,VAKBN.IS,78.4,82.3,0.89,UP,🟠 Dikkatli al
2026-02-16,EREGL.IS,78.4,68.9,1.11,UP,🟡 Alınabilir
2026-02-16,SAHOL.IS,77.6,68.4,1.26,UP,🟡 Alınabilir
2026-02-16,BIMAS.IS,75.8,80.5,0.86,UP,🟠 Dikkatli al
2026-02-16,CIMSA.IS,75.5,67.0,1.33,UP,🟡 Alınabilir
2026-02-16,GESAN.IS,74.7,66.5,1.19,UP,🟡 Alınabilir
2026-02-16,PETKM.IS,74.3,66.2,1.06,UP,🟡 Alınabilir
2026-02-16,DOAS.IS,72.3,64.9,1.22,UP,🟢 En iyi alım bölgesi
2026-02-16,ASTOR.IS,69.9,63.2,1.09,UP,🟢 En iyi alım bölgesi
2026-02-16,ULKER.IS,69.7,63.1,1.11,UP,🟢 En iyi alım bölgesi
2026-02-16,EKGYO.IS,69.7,63.1,1.18,UP,🟢 En iyi alım bölgesi
2026-02-16,HEKTS.IS,69.1,62.8,1.3,UP,🟢 En iyi alım bölgesi
2026-02-16,ISCTR.IS,67.0,74.7,0.99,UP,🟡 Alınabilir
2026-02-16,DOHOL.IS,66.4,60.9,1.2,UP,🟢 En iyi alım bölgesi
2026-02-16,ENKAI.IS,66.1,74.1,0.73,UP,🟡 Alınabilir
2026-02-16,TOASO.IS,65.3,73.5,0.88,UP,🟡 Alınabilir
2026-02-16,SASA.IS,64.6,69.7,7.0,DOWN,🔴 Alma
2026-02-16,TCELL.IS,63.8,72.5,0.93,UP,🟡 Alınabilir
2026-02-16,CCOLA.IS,62.1,71.4,0.86,UP,🟡 Alınabilir
2026-02-16,KRDMD.IS,61.3,70.9,0.98,UP,🟡 Alınabilir
2026-02-16,AGHOL.IS,61.2,70.8,0.81,UP,🟡 Alınabilir
2026-02-16,ODAS.IS,61.0,70.7,0.68,UP,🟡 Alınabilir
2026-02-16,YKBNK.IS,58.4,68.9,0.56,UP,🟡 Alınabilir
2026-02-16,AKSA.IS,57.1,68.0,0.92,UP,🟡 Alınabilir
2026-02-16,OYAKC.IS,55.9,53.9,1.72,UP,🟢 En iyi alım bölgesi
2026-02-16,ALARK.IS,55.7,67.2,0.83,UP,🟡 Alınabilir
2026-02-16,BRSAN.IS,55.7,67.1,0.92,UP,🟡 Alınabilir
2026-02-16,VESTL.IS,55.6,67.0,0.97,UP,🟡 Alınabilir
2026-02-16,GUBRF.IS,54.1,66.0,0.64,UP,🟡 Alınabilir
2026-02-16,GARAN.IS,52.1,64.7,0.86,UP,🟢 En iyi alım bölgesi
2026-02-16,AKBNK.IS,50.3,63.5,0.63,UP,🟢 En iyi alım bölgesi
2026-02-16,AKSEN.IS,31.5,51.0,0.9,UP,🟢 En iyi alım bölgesi
2026-02-16,ECILC.IS,30.0,49.9,0.64,UP,⚪ İzle
2026-02-16,SMRTG.IS,19.1,52.7,0.68,DOWN,🔴 Alma
2026-02-16,ASELS.IS,15.0,42.3,0.64,UP,⚪ İzle
2026-02-16,TUPRS.IS,15.0,47.6,0.93,UP,⚪ İzle
2026-02-16,AHGAZ.IS,15.0,42.8,0.56,UP,⚪ İzle
2026-02-16,FROTO.IS,104.3,86.2,1.16,UP,🔴 Geri çekilme bekle
2026-02-16,PGSUS.IS,98.8,82.5,1.39,UP,🟠 Dikkatli al
2026-02-16,THYAO.IS,92.2,91.5,0.88,UP,🔴 Geri çekilme bekle
2026-02-16,KCHOL.IS,89.3,76.2,1.06,UP,🟠 Dikkatli al
2026-02-16,AEFES.IS,88.3,88.9,0.76,UP,🔴 Geri çekilme bekle
2026-02-16,SISE.IS,87.1,88.0,0.95,UP,🔴 Geri çekilme bekle
2026-02-16,ARCLK.IS,82.8,85.2,0.63,UP,🔴 Geri çekilme bekle
2026-02-16,MGROS.IS,79.9,83.3,0.77,UP,🟠 Dikkatli al
2026-02-16,VAKBN.IS,78.4,82.3,0.89,UP,🟠 Dikkatli al
2026-02-16,EREGL.IS,78.4,68.9,1.11,UP,🟡 Alınabilir
2026-02-16,SAHOL.IS,77.6,68.4,1.26,UP,🟡 Alınabilir
2026-02-16,BIMAS.IS,75.8,80.5,0.86,UP,🟠 Dikkatli al
2026-02-16,CIMSA.IS,75.5,67.0,1.33,UP,🟡 Alınabilir
2026-02-16,GESAN.IS,74.7,66.5,1.19,UP,🟡 Alınabilir
2026-02-16,PETKM.IS,74.3,66.2,1.06,UP,🟡 Alınabilir
2026-02-16,DOAS.IS,72.3,64.9,1.22,UP,🟢 En iyi alım bölgesi
2026-02-16,ASTOR.IS,69.9,63.2,1.09,UP,🟢 En iyi alım bölgesi
2026-02-16,ULKER.IS,69.7,63.1,1.11,UP,🟢 En iyi alım bölgesi
2026-02-16,EKGYO.IS,69.7,63.1,1.18,UP,🟢 En iyi alım bölgesi
2026-02-16,HEKTS.IS,69.1,62.8,1.3,UP,🟢 En iyi alım bölgesi
2026-02-16,ISCTR.IS,67.0,74.7,0.99,UP,🟡 Alınabilir
2026-02-16,DOHOL.IS,66.4,60.9,1.2,UP,🟢 En iyi alım bölgesi
2026-02-16,ENKAI.IS,66.1,74.1,0.73,UP,🟡 Alınabilir
2026-02-16,TOASO.IS,65.3,73.5,0.88,UP,🟡 Alınabilir
2026-02-16,SASA.IS,64.6,69.7,7.0,DOWN,🔴 Alma
2026-02-16,TCELL.IS,63.8,72.5,0.93,UP,🟡 Alınabilir
2026-02-16,CCOLA.IS,62.1,71.4,0.86,UP,🟡 Alınabilir
2026-02-16,KRDMD.IS,61.3,70.9,0.98,UP,🟡 Alınabilir
2026-02-16,AGHOL.IS,61.2,70.8,0.81,UP,🟡 Alınabilir
2026-02-16,ODAS.IS,61.0,70.7,0.68,UP,🟡 Alınabilir
2026-02-16,YKBNK.IS,58.4,68.9,0.56,UP,🟡 Alınabilir
2026-02-16,AKSA.IS,57.1,68.0,0.92,UP,🟡 Alınabilir
2026-02-16,OYAKC.IS,55.9,53.9,1.72,UP,🟢 En iyi alım bölgesi
2026-02-16,ALARK.IS,55.7,67.2,0.83,UP,🟡 Alınabilir
2026-02-16,BRSAN.IS,55.7,67.1,0.92,UP,🟡 Alınabilir
2026-02-16,VESTL.IS,55.6,67.0,0.97,UP,🟡 Alınabilir
2026-02-16,GUBRF.IS,54.1,66.0,0.64,UP,🟡 Alınabilir
2026-02-16,GARAN.IS,52.1,64.7,0.86,UP,🟢 En iyi alım bölgesi
2026-02-16,AKBNK.IS,50.3,63.5,0.63,UP,🟢 En iyi alım bölgesi
2026-02-16,AKSEN.IS,31.5,51.0,0.9,UP,🟢 En iyi alım bölgesi
2026-02-16,ECILC.IS,30.0,49.9,0.64,UP,⚪ İzle
2026-02-16,SMRTG.IS,19.1,52.7,0.68,DOWN,🔴 Alma
2026-02-16,ASELS.IS,15.0,42.3,0.64,UP,⚪ İzle
2026-02-16,TUPRS.IS,15.0,47.6,0.93,UP,⚪ İzle
2026-02-16,AHGAZ.IS,15.0,42.8,0.56,UP,⚪ İzle
